time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-10 00:00:00+00:00,1,1,,
2025-02-11 00:00:00+00:00,4,2,,
2025-02-12 00:00:00+00:00,3,2,,
2025-02-13 00:00:00+00:00,4,2,,
2025-02-14 00:00:00+00:00,4,2,,
2025-02-15 00:00:00+00:00,4,2,,
2025-02-16 00:00:00+00:00,5,2,,
2025-02-17 00:00:00+00:00,1,1,,
2025-02-18 00:00:00+00:00,1,1,,
2025-02-19 00:00:00+00:00,1,1,,
2025-02-20 00:00:00+00:00,3,2,,
2025-02-21 00:00:00+00:00,4,2,,
2025-02-22 00:00:00+00:00,4,2,,
